asin,title,price,original_price,discount,rating,reviews_count,image_url,url,prime,delivery,sponsored
B0B8YTGC23,Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),11990.0,18900.0,37,4.1,12105,https://m.media-amazon.com/images/I/71JQ3kUrR9L._AC_UY218_.jpg,https://www.amazon.in/Samsung-inches-Ready-UA32T4380AKXXL-Glossy/dp/B0B8YTGC23/ref=sr_1_1?crid=34918QN5GMRH4&dib=eyJ2IjoiMSJ9.qLcEeWoizyEVBxWvrFY303xAQF2RhzyRtFBuXBBvNaVFMOVE5VJZIAIMqf0BR0nRvjLjrbx7G8IhCwYuFElPdCpBxU_YsBtk218oHHSyXKrF0nJDHBCiw51Cm3vGxoUhR7MPnuAnM_iqtE1HRShVjhXyvqNZvbbSCuXavr1wpZPBfa6BN9GYsq6fWX765mksPytVAJLHp1kVtWYsxqkFVqHZj_rtVfZmb9cwbzUPeuQ.zzoAIoYxKjwDL65dbSKCmbe0uB6li_dB_ftKMN2TiAk&dib_tag=se&keywords=television&qid=1741413165&sprefix=televisio%2Caps%2C330&sr=8-1,False,FREE delivery as soon as,False
B07MNNH484,VW 80 cm (32 inches) Frameless Series HD Ready Android Smart LED TV VW32S (Black),,,,4.0,5444,https://m.media-amazon.com/images/I/717oSOB4hCL._AC_UY218_.jpg,https://www.amazon.in/Visio-World-inches-VW32S-Ready/dp/B07MNNH484/ref=sr_1_2?crid=34918QN5GMRH4&dib=eyJ2IjoiMSJ9.qLcEeWoizyEVBxWvrFY303xAQF2RhzyRtFBuXBBvNaVFMOVE5VJZIAIMqf0BR0nRvjLjrbx7G8IhCwYuFElPdCpBxU_YsBtk218oHHSyXKrF0nJDHBCiw51Cm3vGxoUhR7MPnuAnM_iqtE1HRShVjhXyvqNZvbbSCuXavr1wpZPBfa6BN9GYsq6fWX765mksPytVAJLHp1kVtWYsxqkFVqHZj_rtVfZmb9cwbzUPeuQ.zzoAIoYxKjwDL65dbSKCmbe0uB6li_dB_ftKMN2TiAk&dib_tag=se&keywords=television&qid=1741413165&sprefix=televisio%2Caps%2C330&sr=8-2,False,,False
B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),13490.0,21990.0,39,4.2,17552,https://m.media-amazon.com/images/I/71r09pY-69L._AC_UY218_.jpg,https://www.amazon.in/LG-inches-Ready-Smart-32LM563BPTC/dp/B08DPLCM6T/ref=sr_1_3?crid=34918QN5GMRH4&dib=eyJ2IjoiMSJ9.qLcEeWoizyEVBxWvrFY303xAQF2RhzyRtFBuXBBvNaVFMOVE5VJZIAIMqf0BR0nRvjLjrbx7G8IhCwYuFElPdCpBxU_YsBtk218oHHSyXKrF0nJDHBCiw51Cm3vGxoUhR7MPnuAnM_iqtE1HRShVjhXyvqNZvbbSCuXavr1wpZPBfa6BN9GYsq6fWX765mksPytVAJLHp1kVtWYsxqkFVqHZj_rtVfZmb9cwbzUPeuQ.zzoAIoYxKjwDL65dbSKCmbe0uB6li_dB_ftKMN2TiAk&dib_tag=se&keywords=television&qid=1741413165&sprefix=televisio%2Caps%2C330&sr=8-3,False,FREE delivery as soon as,False
B0DCZMPRXC,VW 109 cm (43 inches) Playwall Frameless Series Full HD Android Smart LED TV VW43F2 (Black),13999.0,23999.0,42,4.0,6817,https://m.media-amazon.com/images/I/71RMJHjJa0L._AC_UY218_.jpg,https://www.amazon.in/VW-Playwall-Frameless-Android-VW43F2/dp/B0DCZMPRXC/ref=sr_1_4?crid=34918QN5GMRH4&dib=eyJ2IjoiMSJ9.qLcEeWoizyEVBxWvrFY303xAQF2RhzyRtFBuXBBvNaVFMOVE5VJZIAIMqf0BR0nRvjLjrbx7G8IhCwYuFElPdCpBxU_YsBtk218oHHSyXKrF0nJDHBCiw51Cm3vGxoUhR7MPnuAnM_iqtE1HRShVjhXyvqNZvbbSCuXavr1wpZPBfa6BN9GYsq6fWX765mksPytVAJLHp1kVtWYsxqkFVqHZj_rtVfZmb9cwbzUPeuQ.zzoAIoYxKjwDL65dbSKCmbe0uB6li_dB_ftKMN2TiAk&dib_tag=se&keywords=television&qid=1741413165&sprefix=televisio%2Caps%2C330&sr=8-4,False,FREE delivery as soon as,False
B0D4LJ9WVW,Redmi Xiaomi 80 cm (32 inches) F Series HD Ready Smart LED Fire TV L32MA-FVIN (Black),11490.0,24999.0,54,4.2,9031,https://m.media-amazon.com/images/I/81XdceRvZaL._AC_UY218_.jpg,https://www.amazon.in/Redmi-inches-Ready-Smart-L32MA-FVIN/dp/B0D4LJ9WVW/ref=sr_1_5?crid=34918QN5GMRH4&dib=eyJ2IjoiMSJ9.qLcEeWoizyEVBxWvrFY303xAQF2RhzyRtFBuXBBvNaVFMOVE5VJZIAIMqf0BR0nRvjLjrbx7G8IhCwYuFElPdCpBxU_YsBtk218oHHSyXKrF0nJDHBCiw51Cm3vGxoUhR7MPnuAnM_iqtE1HRShVjhXyvqNZvbbSCuXavr1wpZPBfa6BN9GYsq6fWX765mksPytVAJLHp1kVtWYsxqkFVqHZj_rtVfZmb9cwbzUPeuQ.zzoAIoYxKjwDL65dbSKCmbe0uB6li_dB_ftKMN2TiAk&dib_tag=se&keywords=television&qid=1741413165&sprefix=televisio%2Caps%2C330&sr=8-5,False,FREE delivery as soon as,False
B0BFFHGML2,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),23990.0,40400.0,41,4.1,12105,https://m.media-amazon.com/images/I/71ax3phCOVL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Inches-Smart-UA43T5450AKXXL-Black/dp/B0BFFHGML2/ref=sr_1_6?crid=34918QN5GMRH4&dib=eyJ2IjoiMSJ9.qLcEeWoizyEVBxWvrFY303xAQF2RhzyRtFBuXBBvNaVFMOVE5VJZIAIMqf0BR0nRvjLjrbx7G8IhCwYuFElPdCpBxU_YsBtk218oHHSyXKrF0nJDHBCiw51Cm3vGxoUhR7MPnuAnM_iqtE1HRShVjhXyvqNZvbbSCuXavr1wpZPBfa6BN9GYsq6fWX765mksPytVAJLHp1kVtWYsxqkFVqHZj_rtVfZmb9cwbzUPeuQ.zzoAIoYxKjwDL65dbSKCmbe0uB6li_dB_ftKMN2TiAk&dib_tag=se&keywords=television&qid=1741413165&sprefix=televisio%2Caps%2C330&sr=8-6,False,FREE delivery as soon as,False
B0CZ6TRNGT,TCL 79.97 cm (32 inches) Metallic Bezel-Less HD Ready Smart Android LED TV 32L4B (Black),9990.0,20990.0,52,3.8,6601,https://m.media-amazon.com/images/I/714zPqD6+-L._AC_UY218_.jpg,https://www.amazon.in/TCL-Metallic-Bezel-Less-Android-32L4B/dp/B0CZ6TRNGT/ref=sr_1_7?crid=34918QN5GMRH4&dib=eyJ2IjoiMSJ9.qLcEeWoizyEVBxWvrFY303xAQF2RhzyRtFBuXBBvNaVFMOVE5VJZIAIMqf0BR0nRvjLjrbx7G8IhCwYuFElPdCpBxU_YsBtk218oHHSyXKrF0nJDHBCiw51Cm3vGxoUhR7MPnuAnM_iqtE1HRShVjhXyvqNZvbbSCuXavr1wpZPBfa6BN9GYsq6fWX765mksPytVAJLHp1kVtWYsxqkFVqHZj_rtVfZmb9cwbzUPeuQ.zzoAIoYxKjwDL65dbSKCmbe0uB6li_dB_ftKMN2TiAk&dib_tag=se&keywords=television&qid=1741413165&sprefix=televisio%2Caps%2C330&sr=8-7,False,FREE delivery as soon as,False
B0D25MMHH2,Xiaomi Smart TV A 80 cm (32) HD Ready Smart Google LED TV L32MA-AIN (Black),12490.0,24999.0,50,4.1,14779,https://m.media-amazon.com/images/I/81rrYBX9jXL._AC_UY218_.jpg,https://www.amazon.in/Xiaomi-Smart-Ready-Google-L32MA-AIN/dp/B0D25MMHH2/ref=sr_1_8?crid=34918QN5GMRH4&dib=eyJ2IjoiMSJ9.qLcEeWoizyEVBxWvrFY303xAQF2RhzyRtFBuXBBvNaVFMOVE5VJZIAIMqf0BR0nRvjLjrbx7G8IhCwYuFElPdCpBxU_YsBtk218oHHSyXKrF0nJDHBCiw51Cm3vGxoUhR7MPnuAnM_iqtE1HRShVjhXyvqNZvbbSCuXavr1wpZPBfa6BN9GYsq6fWX765mksPytVAJLHp1kVtWYsxqkFVqHZj_rtVfZmb9cwbzUPeuQ.zzoAIoYxKjwDL65dbSKCmbe0uB6li_dB_ftKMN2TiAk&dib_tag=se&keywords=television&qid=1741413165&sprefix=televisio%2Caps%2C330&sr=8-8,False,FREE delivery as soon as,False
B0CZ6QF29Y,TCL 101 cm (40 inches) Metallic Bezel-Less Full HD Smart Android LED TV 40L4B (Black),15990.0,35990.0,56,3.8,6601,https://m.media-amazon.com/images/I/61A1U9+mC-L._AC_UY218_.jpg,https://www.amazon.in/TCL-Mettalic-Bezel-Less-Android-40L4B/dp/B0CZ6QF29Y/ref=sr_1_9?crid=34918QN5GMRH4&dib=eyJ2IjoiMSJ9.qLcEeWoizyEVBxWvrFY303xAQF2RhzyRtFBuXBBvNaVFMOVE5VJZIAIMqf0BR0nRvjLjrbx7G8IhCwYuFElPdCpBxU_YsBtk218oHHSyXKrF0nJDHBCiw51Cm3vGxoUhR7MPnuAnM_iqtE1HRShVjhXyvqNZvbbSCuXavr1wpZPBfa6BN9GYsq6fWX765mksPytVAJLHp1kVtWYsxqkFVqHZj_rtVfZmb9cwbzUPeuQ.zzoAIoYxKjwDL65dbSKCmbe0uB6li_dB_ftKMN2TiAk&dib_tag=se&keywords=television&qid=1741413165&sprefix=televisio%2Caps%2C330&sr=8-9,False,FREE delivery as soon as,False
B0C82ZHYQ8,LG 108 cm (43 inches) 4K Ultra HD Smart LED TV 43UR7500PSC (Dark Iron Gray),29990.0,49990.0,40,4.1,3617,https://m.media-amazon.com/images/I/61IZMKHnbJL._AC_UY218_.jpg,https://www.amazon.in/LG-inches-Ultra-Smart-43UR7500PSC/dp/B0C82ZHYQ8/ref=sr_1_10?crid=34918QN5GMRH4&dib=eyJ2IjoiMSJ9.qLcEeWoizyEVBxWvrFY303xAQF2RhzyRtFBuXBBvNaVFMOVE5VJZIAIMqf0BR0nRvjLjrbx7G8IhCwYuFElPdCpBxU_YsBtk218oHHSyXKrF0nJDHBCiw51Cm3vGxoUhR7MPnuAnM_iqtE1HRShVjhXyvqNZvbbSCuXavr1wpZPBfa6BN9GYsq6fWX765mksPytVAJLHp1kVtWYsxqkFVqHZj_rtVfZmb9cwbzUPeuQ.zzoAIoYxKjwDL65dbSKCmbe0uB6li_dB_ftKMN2TiAk&dib_tag=se&keywords=television&qid=1741413165&sprefix=televisio%2Caps%2C330&sr=8-10,False,FREE delivery as soon as,False
B0DBRL1SYQ,MI Xiaomi 108 cm (43 inches) A Pro 4K Dolby Vision Smart Google TV L43MA-AUIN (Black),23999.0,42999.0,44,4.0,4593,https://m.media-amazon.com/images/I/71HI+VF6ZXL._AC_UY218_.jpg,https://www.amazon.in/Xiaomi-inches-Vision-Google-L43MA-AUIN/dp/B0DBRL1SYQ/ref=sr_1_11?crid=34918QN5GMRH4&dib=eyJ2IjoiMSJ9.qLcEeWoizyEVBxWvrFY303xAQF2RhzyRtFBuXBBvNaVFMOVE5VJZIAIMqf0BR0nRvjLjrbx7G8IhCwYuFElPdCpBxU_YsBtk218oHHSyXKrF0nJDHBCiw51Cm3vGxoUhR7MPnuAnM_iqtE1HRShVjhXyvqNZvbbSCuXavr1wpZPBfa6BN9GYsq6fWX765mksPytVAJLHp1kVtWYsxqkFVqHZj_rtVfZmb9cwbzUPeuQ.zzoAIoYxKjwDL65dbSKCmbe0uB6li_dB_ftKMN2TiAk&dib_tag=se&keywords=television&qid=1741413165&sprefix=televisio%2Caps%2C330&sr=8-11,False,FREE delivery as soon as,False
B0DBLLYXVV,VW 80 cm (32 inches) Playwall Frameless Series HD Ready Android Smart LED TV VW32F5 (Black),7999.0,17999.0,56,4.0,6817,https://m.media-amazon.com/images/I/71tKQEE8ayL._AC_UY218_.jpg,https://www.amazon.in/VW-Playwall-Frameless-Android-VW32F5/dp/B0DBLLYXVV/ref=sr_1_12?crid=34918QN5GMRH4&dib=eyJ2IjoiMSJ9.qLcEeWoizyEVBxWvrFY303xAQF2RhzyRtFBuXBBvNaVFMOVE5VJZIAIMqf0BR0nRvjLjrbx7G8IhCwYuFElPdCpBxU_YsBtk218oHHSyXKrF0nJDHBCiw51Cm3vGxoUhR7MPnuAnM_iqtE1HRShVjhXyvqNZvbbSCuXavr1wpZPBfa6BN9GYsq6fWX765mksPytVAJLHp1kVtWYsxqkFVqHZj_rtVfZmb9cwbzUPeuQ.zzoAIoYxKjwDL65dbSKCmbe0uB6li_dB_ftKMN2TiAk&dib_tag=se&keywords=television&qid=1741413165&sprefix=televisio%2Caps%2C330&sr=8-12,False,FREE delivery as soon as,False
B0BQZQ3QTV,VW 80 cm (32 inches) Linux Series Frameless HD Ready Smart LED TV VW32C2 (Black) | with 18 Months Warranty,6999.0,16999.0,59,3.8,2319,https://m.media-amazon.com/images/I/71jVRzxB1wL._AC_UY218_.jpg,https://www.amazon.in/VW-inches-Linux-Frameless-VW32C2/dp/B0BQZQ3QTV/ref=sr_1_13?crid=34918QN5GMRH4&dib=eyJ2IjoiMSJ9.qLcEeWoizyEVBxWvrFY303xAQF2RhzyRtFBuXBBvNaVFMOVE5VJZIAIMqf0BR0nRvjLjrbx7G8IhCwYuFElPdCpBxU_YsBtk218oHHSyXKrF0nJDHBCiw51Cm3vGxoUhR7MPnuAnM_iqtE1HRShVjhXyvqNZvbbSCuXavr1wpZPBfa6BN9GYsq6fWX765mksPytVAJLHp1kVtWYsxqkFVqHZj_rtVfZmb9cwbzUPeuQ.zzoAIoYxKjwDL65dbSKCmbe0uB6li_dB_ftKMN2TiAk&dib_tag=se&keywords=television&qid=1741413165&sprefix=televisio%2Caps%2C330&sr=8-13,False,FREE delivery as soon as,False
B0C83J8YF8,LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UR7500PSC (Dark Iron Gray),41990.0,71990.0,42,4.1,3617,https://m.media-amazon.com/images/I/61IZMKHnbJL._AC_UY218_.jpg,https://www.amazon.in/LG-inches-Ultra-Smart-55UR7500PSC/dp/B0C83J8YF8/ref=sr_1_14?crid=34918QN5GMRH4&dib=eyJ2IjoiMSJ9.qLcEeWoizyEVBxWvrFY303xAQF2RhzyRtFBuXBBvNaVFMOVE5VJZIAIMqf0BR0nRvjLjrbx7G8IhCwYuFElPdCpBxU_YsBtk218oHHSyXKrF0nJDHBCiw51Cm3vGxoUhR7MPnuAnM_iqtE1HRShVjhXyvqNZvbbSCuXavr1wpZPBfa6BN9GYsq6fWX765mksPytVAJLHp1kVtWYsxqkFVqHZj_rtVfZmb9cwbzUPeuQ.zzoAIoYxKjwDL65dbSKCmbe0uB6li_dB_ftKMN2TiAk&dib_tag=se&keywords=television&qid=1741413165&sprefix=televisio%2Caps%2C330&sr=8-14,False,FREE delivery as soon as,False
B07MKFNHKG,VW 80 cm (32 inches) Frameless Series HD Ready LED TV VW32A (Black),6799.0,12999.0,48,3.8,7728,https://m.media-amazon.com/images/I/71RgtnoQLUL._AC_UY218_.jpg,https://www.amazon.in/Visio-World-inches-VW32A-Ready/dp/B07MKFNHKG/ref=sr_1_15?crid=34918QN5GMRH4&dib=eyJ2IjoiMSJ9.qLcEeWoizyEVBxWvrFY303xAQF2RhzyRtFBuXBBvNaVFMOVE5VJZIAIMqf0BR0nRvjLjrbx7G8IhCwYuFElPdCpBxU_YsBtk218oHHSyXKrF0nJDHBCiw51Cm3vGxoUhR7MPnuAnM_iqtE1HRShVjhXyvqNZvbbSCuXavr1wpZPBfa6BN9GYsq6fWX765mksPytVAJLHp1kVtWYsxqkFVqHZj_rtVfZmb9cwbzUPeuQ.zzoAIoYxKjwDL65dbSKCmbe0uB6li_dB_ftKMN2TiAk&dib_tag=se&keywords=television&qid=1741413165&sprefix=televisio%2Caps%2C330&sr=8-15,False,FREE delivery as soon as,False
B0D3DWFY54,Sony 139 cm (55 inches) BRAVIA 2 4K Ultra HD Smart LED Google TV K-55S25B (Black),57990.0,99900.0,42,4.8,,https://m.media-amazon.com/images/I/81zPuf-0ETL._AC_UY218_.jpg,https://www.amazon.in/Sony-inches-BRAVIA-Google-K-55S25B/dp/B0D3DWFY54/ref=sr_1_16?crid=34918QN5GMRH4&dib=eyJ2IjoiMSJ9.qLcEeWoizyEVBxWvrFY303xAQF2RhzyRtFBuXBBvNaVFMOVE5VJZIAIMqf0BR0nRvjLjrbx7G8IhCwYuFElPdCpBxU_YsBtk218oHHSyXKrF0nJDHBCiw51Cm3vGxoUhR7MPnuAnM_iqtE1HRShVjhXyvqNZvbbSCuXavr1wpZPBfa6BN9GYsq6fWX765mksPytVAJLHp1kVtWYsxqkFVqHZj_rtVfZmb9cwbzUPeuQ.zzoAIoYxKjwDL65dbSKCmbe0uB6li_dB_ftKMN2TiAk&dib_tag=se&keywords=television&qid=1741413165&sprefix=televisio%2Caps%2C330&sr=8-16,False,FREE delivery as soon as,False
